adId,startDate,brand,productType,color,environment,features,marketingApproach,description
4000,2025-02-18,Hoka,Running Shoe,beige,Minimalist studio,"Minimalist design; cushioned sole; breathable material","Emotional appeal; lifestyle","The advertisement presents a single beige athletic shoe on a flat, light gray background, emphasizing modern elegance and comfort for everyday wear."
4001,2025-02-18,Hoka,Running Shoe,unknown,Outdoor,"Advanced technology; performance-enhancing; sleek design","Aspirational; social proof","This ad for the Cielo X1 2.0 running shoe features an athlete mid-stride on an open road under a clear sky, evoking speed, freedom, and high performance."
4002,2025-02-18,Hoka,Running Shoe,unknown,Outdoor,"Lightweight; aerodynamic; elite performance","Aspirational; social proof","Featuring a professional runner with a scenic mountain and open road backdrop, this advertisement highlights the Cielo X1 2.0’s advanced design and inspires serious runners."
4003,2025-02-18,Hoka,Running Shoe,blue,Urban,"Cushioned sole; advanced grip; durable construction","Testimonial; aspirational","Set against an urban backdrop, this ad shows a runner in motion and emphasizes the shoe's durable build and comfortable, cushioned sole."
4004,2025-02-18,Hoka,Running Shoe,unknown,Outdoor,"Lightweight; responsive; energy return","Aspirational; emotional appeal","This outdoor ad uses dynamic visuals of a runner on a sunlit path to underline the shoe's responsiveness and energy return, motivating viewers to push their limits."
4005,2025-02-18,Hoka,Running Shoe,black,Minimalist studio,"Sleek design; innovative cushioning; high-tech materials","Lifestyle; aspirational","In a minimalist studio setting, the focus is on the shoe’s sleek design and innovative cushioning that appeals to modern, performance‐focused athletes."
4006,2025-02-18,Hoka,Running Shoe,white,Outdoor,"Enhanced ventilation; stability; flexible sole","Emotional appeal; social proof","Against a clear outdoor backdrop, this ad emphasizes the shoe’s enhanced ventilation and stable, flexible sole for optimal performance."
4007,2025-02-18,Hoka,Running Shoe,gray,Urban,"Modern aesthetics; responsive cushioning; durable build","Aspirational; lifestyle","This urban-themed advertisement features a runner on busy streets, highlighting the shoe’s modern look and responsive cushioning."
4008,2025-02-18,Hoka,Running Shoe,red,Outdoor,"Ergonomic design; lightweight; performance-enhancing","Testimonial; aspirational","Featuring vibrant outdoor action, the ad promotes the ergonomic design and lightweight build of the shoe, ideal for high-intensity runs."
4009,2025-02-18,Hoka,Running Shoe,unknown,Urban,"Advanced traction; shock absorption; sleek silhouette","Aspirational; social proof","In a bustling urban environment, this ad highlights advanced traction and shock absorption to position the shoe as essential for competitive running."
4010,2025-02-18,Hoka,Running Shoe,beige,Outdoor,"Cushioned sole; breathable material; minimalist design","Emotional appeal; lifestyle","This advertisement features a runner in an open outdoor setting, emphasizing the understated design and comfort of the beige running shoe."
4011,2025-02-18,Hoka,Running Shoe,unknown,Urban,"Innovative cushioning; energy return; lightweight","Aspirational; social proof","An urban runner’s journey is captured here to showcase the innovative cushioning and lightweight construction that delivers an energetic performance."
4012,2025-02-18,Hoka,Running Shoe,blue,Outdoor,"Aerodynamic design; flexible sole; durability","Testimonial; aspirational","Set against a scenic blue sky, this ad underlines the aerodynamic design and durability of the running shoe, appealing to serious athletes."
4013,2025-02-18,Hoka,Running Shoe,black,Minimalist studio,"Precision engineering; sleek profile; comfort","Emotional appeal; lifestyle","In a minimalist setting, the black running shoe is showcased with a focus on its precision engineering and sleek profile for superior comfort."
4014,2025-02-18,Hoka,Running Shoe,white,Outdoor,"Responsive cushioning; lightweight; supportive build","Aspirational; social proof","This outdoor ad highlights the responsive cushioning and lightweight support that help runners achieve peak performance on varied terrains."
4015,2025-02-18,Hoka,Running Shoe,gray,Urban,"Contemporary design; shock absorption; stability","Testimonial; aspirational","Filmed in an urban landscape, the ad emphasizes the contemporary design and robust shock absorption of the running shoe, inspiring confidence."
